team,striker
Switzerland,Idrees Ul Haque
Tanzania,AA Jasani
Tanzania,AJ Jabiri
Tanzania,AM Kimote
Tanzania,AP Rajeevan
Tanzania,AR Patwa
Tanzania,Akhil Anil
Tanzania,HA Chohan
Tanzania,II Selemani
Tanzania,Jitin Singh
Tanzania,K Nassoro
Tanzania,M Yunusu Issa
Tanzania,MO Kitunda
Tanzania,S Thakor
Tanzania,SA Jumbe
Thailand,AP Yadav
Thailand,AV Lazarus
Thailand,C Chatphaisan
Thailand,C Pengkumta
Thailand,DF Jacobs
Thailand,HJ Jordaan
Thailand,J Coetzee
Thailand,MK Thakur
Thailand,N Nuntarach
Thailand,N Pathan
Thailand,N Salekar
Thailand,N Senamontree
Thailand,P Suanchuai
Thailand,Robert Raina
Thailand,S Desungnoen
Thailand,S Rungrueang
Thailand,Vichanath Singh
Thailand,Y Saranonnakkun
Uganda,AR Ramjani
Uganda,B Masaba
Uganda,Bilal Hassun
Uganda,C Kyewuta
Uganda,CN Kakuru
Uganda,D Muhumuza
Uganda,DM Nakrani
Uganda,F Achelam
Uganda,F Akankwasa
Uganda,F Nsubuga
Uganda,H Ssenyondo
Uganda,J Baguma
Uganda,J Miyaji
Uganda,K Waiswa
Uganda,P Murungi
Uganda,R Lutaaya
Uganda,R Obuya
Uganda,RB Patel
Uganda,RG Mukasa
Uganda,Riazat Ali Shah
Uganda,S Sesazi
Uganda,SG Mangela
Uganda,Saud Islam
United Arab Emirates,A Sharafu
United Arab Emirates,Ahmed Raza
United Arab Emirates,Ali Naseer
United Arab Emirates,Amjad Javed
United Arab Emirates,Asif Khan
United Arab Emirates,Basil Hameed
United Arab Emirates,CP Rizwan
United Arab Emirates,Chirag Suri
United Arab Emirates,D Parashar
United Arab Emirates,Junaid Siddique
United Arab Emirates,Kashif Daud
United Arab Emirates,Mohammad Boota
United Arab Emirates,Mohammad Naveed
United Arab Emirates,Mohammad Shahzad (2)
United Arab Emirates,Muhammad Usman
United Arab Emirates,R Chopra
United Arab Emirates,Rameez Shahzad
United Arab Emirates,Rohan Mustafa
United Arab Emirates,SP Patil
United Arab Emirates,Shaiman Anwar
United Arab Emirates,Sultan Ahmed (2)
United Arab Emirates,V Aravind
United Arab Emirates,Waheed Ahmed
United Arab Emirates,Waseem Muhammad
United Arab Emirates,Zawar Farid
United Arab Emirates,Zuhaib Zubair
United States of America,AGS Gous
United States of America,Aaron Jones
United States of America,CJ Anderson
United States of America,Harmeet Singh
United States of America,MD Patel
United States of America,Milind Kumar
United States of America,NR Kumar
United States of America,SC van Schalkwyk
United States of America,SR Mukkamalla
United States of America,SR Taylor
United States of America,Shayan Jahangir
Vanuatu,A Mansale
Vanuatu,J Rasu
Vanuatu,J Vira
Vanuatu,JD Allan
Vanuatu,JP Kaltapau
Vanuatu,N Nipiko
Vanuatu,PK Matautaava
Vanuatu,R Tari
Vanuatu,SH Obed
Vanuatu,W Nalisa
Vanuatu,W Wotu
West Indies,AD Russell
West Indies,ADS Fletcher
West Indies,AJ Hosein
West Indies,AS Joseph
West Indies,BA King
West Indies,CAK Walton
West Indies,CH Gayle
West Indies,CR Brathwaite
West Indies,D Ramdin
West Indies,DJ Bravo
West Indies,DJG Sammy
West Indies,DM Bravo
West Indies,DR Smith
West Indies,E Lewis
West Indies,FA Allen
West Indies,G Motie
West Indies,J Charles
West Indies,JO Holder
West Indies,KA Pollard
West Indies,KR Mayers
West Indies,LMP Simmons
West Indies,MN Samuels
West Indies,N Pooran
West Indies,OF Smith
West Indies,R Powell
West Indies,R Shepherd
West Indies,RL Chase
West Indies,S Badree
West Indies,S Chanderpaul
West Indies,SD Hope
West Indies,SE Rutherford
West Indies,SO Hetmyer
West Indies,SP Narine
Zimbabwe,AG Cremer
Zimbabwe,B Muzarabani
Zimbabwe,BJ Bennett
Zimbabwe,BRM Taylor
Zimbabwe,C Madande
Zimbabwe,CJ Chibhabha
Zimbabwe,CK Coventry
Zimbabwe,CR Ervine
Zimbabwe,CT Mutombodzi
Zimbabwe,D Myers
Zimbabwe,E Chigumbura
Zimbabwe,H Masakadza
Zimbabwe,I Kaia
Zimbabwe,LM Jongwe
Zimbabwe,M Shumba
Zimbabwe,MN Waller
Zimbabwe,P Utseya
Zimbabwe,PJ Moor
Zimbabwe,R Mutumbami
Zimbabwe,R Ngarava
Zimbabwe,RP Burl
Zimbabwe,RW Chakabva
Zimbabwe,SC Williams
Zimbabwe,Sikandar Raza
Zimbabwe,T Marumani
Zimbabwe,T Munyonga
Zimbabwe,T Musekiwa
Zimbabwe,TS Kamunhukamwe
Zimbabwe,V Sibanda
Zimbabwe,W Madhevere
Zimbabwe,WP Masakadza
Argentina,Guido Angeletti
Argentina,Lucas Rossi
Australia,AJ Tye
Australia,BJ Hodge
Australia,CA Lynn
Australia,JR Philippe
Australia,NM Coulter-Nile
Bahamas,JR Barry
Bahrain,Muhammad Younis
Bangladesh,Abdur Razzak
Bangladesh,Aftab Ahmed
Bangladesh,Imrul Kayes
Bangladesh,Mohammad Mithun
Bangladesh,Naeem Islam
Belgium,Aziz Mohammad
Belize,BS Stephenson
Belize,GG Banner
Belize,L Bonner
Belize,ML Castillo
Belize,NN Banner
Belize,O Casasola
Bermuda,O Bascome
Botswana,B Khumalo
Botswana,K Piet
Botswana,M Kasselman
Brazil,LF Muller
Brazil,LH Rodrigues
Brazil,W Maximo
Brazil,Yasar Haroon
Bulgaria,Asad Ali Rehemtulla
Bulgaria,Saim Hussain
Cambodia,M Chadha
Cayman Islands,BKB Corbin
Cayman Islands,D Johnson
China,Tian Sen Qun
China,Wei Guo Lei
China,Zhuang Zelin
Cook Islands,A Parima
Cook Islands,C Dickson
Cook Islands,HB Dickson
Cook Islands,L Denny
Cook Islands,MTMMJ Ave
Cook Islands,T Parima
Cyprus,J Chialoufas
Czech Republic,Divyendra Singh
Czech Republic,Naveed Ahmed
Czech Republic,S Grover
England,JC Archer
England,JG Bethell
England,JW Dernbach
England,RJW Topley
England,S Mahmood
England,TK Curran
Estonia,Bilal Masud
Estonia,S Gooch
Estonia,Sahil Chauhan
Eswatini,Adil Butt
Eswatini,T Sandeep
Eswatini,Umair Qasim
Fiji,M Beitaki
Fiji,PV Vuniwaqa
Finland,A Pusthay
Germany,J van Heerden
Germany,Sachin Mandy
Ghana,Amoluk Singh
Ghana,KM Awala
Gibraltar,C Pyle
Greece,AS Mehmi
Greece,Aslam Mohammad
Greece,GC Galanis
Guernsey,B Fitchet
Guernsey,OB Nightingale
Hong Kong,Haseeb Amjad
Hong Kong,MS Chapman
Hong Kong,Mohammad Ghazanfar
Hungary,Abhishek Ahuja
Hungary,Ali Yalmaz
Hungary,Sheikh Rasik
Indonesia,J Dzulfikar
Ireland,DT Johnston
Ireland,EC Joyce
Ireland,MC Sorensen
Ireland,WB Rankin
Italy,AJ Mosca
Italy,BBJL Perera
Italy,J Mosca
Kenya,DM Gondaria
Kenya,E Otieno
Kenya,EB Ringera
Kenya,Gurdeep Singh
Kenya,JS Kundi
Kenya,N Mugabe
Luxembourg,A Nanda
Luxembourg,G Venkateswaran
Luxembourg,M Dixit
Maldives,Ismail Ali
Malta,Amar Sharma
Mongolia,B Namsrai
Mongolia,E Otgonbayar
Mongolia,G Ganbold
Mongolia,L Erdenebulgan
Mongolia,M Vivekanandan
Mongolia,N Naranbaatar
Mongolia,O Lutbayar
Mongolia,T Amarmend
Mongolia,T Tumursukh
Mongolia,Z Shurentsetseg
Mozambique,J Bulele
Mozambique,VE Tembo
Namibia,DO Leicher
Nepal,A Bohara
Nepal,B Yadav
Nepal,Lokesh Bam
Nepal,P Sarraf
Nepal,PS Airee
Nepal,S Lamichhane
Netherlands,TJG Pringle
New Zealand,CJ Bowes
New Zealand,LH Ferguson
New Zealand,TA Boult
Nigeria,AE Isesele
Norway,Ahmadullah Shinwari
Norway,Tafseer Ali
Pakistan,Abbas Afridi
Pakistan,Anwar Ali
Pakistan,Azam Khan
Pakistan,Khalid Latif
Pakistan,Yasir Arafat
Papua New Guinea,N Pokana
Papua New Guinea,SK Atai
Philippines,GR Russ
Philippines,R Goodwin
Portugal,D Norotam
Portugal,M Machado
Portugal,SP Gomes
Qatar,Amir Farooq
Qatar,Gayan Munaweera
Qatar,Kamran Khan
Qatar,Kamran Khan (2)
Qatar,Shahzaib Jamil
Romania,AN Lascu
Romania,Muhammad Moiz
Rwanda,Hamza Khan
Saudi Arabia,Kashif Siddique
Scotland,AC Evans
Scotland,PL Mommsen
Serbia,MV Pavlovic
Serbia,S Ivetic
Serbia,S Tosic
Seychelles,Mazharul Islam
Seychelles,N Krishna
Seychelles,SKDT Madusanka
Seychelles,SR Mohan
Sierra Leone,AL Kerai
Slovenia,DK Pallekonda
Slovenia,Izaz Ali
Slovenia,Muhammad Siddiqui
Slovenia,Rasheed Ali Mamadkhel
Slovenia,Waqar Khan
South Africa,A Nortje
South Africa,G Coetzee
South Africa,KA Maharaj
South Africa,L Ngidi
South Africa,M Jansen
South Africa,MP Breetzke
South Africa,RD Rickelton
South Africa,T Shamsi
South Korea,Aamir Lal
South Korea,Alam Nakash
South Korea,Jun Hyunwoo
South Korea,Kim Daeyeon
South Korea,Mudassir Iqbal
South Korea,Raja Shoaib
Spain,Muhammad Yasin
Spain,PD Hennessy
Spain,R Panchal
Sri Lanka,CAK Rajitha
Sri Lanka,DAS Gunaratne
Sri Lanka,EMDY Munaweera
Sri Lanka,PADLR Sandakan
Sri Lanka,SMSM Senanayake
Sweden,A Venkatesh
Sweden,Hamid Mahmood
Sweden,Imal Zuwak
Sweden,Ismaeel Zia
Sweden,Khalid Zahid
Sweden,Umar Nawaz
Switzerland,Ahmed Hassan
Switzerland,Faheem Nazir
Switzerland,NK Aneesh Kumar
Switzerland,Osama Mahmood
Tanzania,YM Nkanya
Thailand,P Thongsa
Thailand,Sarawut Maliwan
Turkey,A Turkmen
Turkey,GG Alta
Turkey,I Elec
Turkey,Ilyas Ataullah
Turkey,M Ozturk
Turkey,R Nath
Turkey,Shamsullah Ehsan
Uganda,A Otwani
United Arab Emirates,A Sharma
United Arab Emirates,Aayan Afzal Khan
United Arab Emirates,Aryan Lakra
United Arab Emirates,Ghulam Shabber
United States of America,G Singh
United States of America,JS Malhotra
United States of America,Jasdeep Singh
United States of America,NK Patel
United States of America,XM Marshall
Vanuatu,AL Stephen
Vanuatu,C Tommy
West Indies,DC Thomas
West Indies,HR Walsh
West Indies,JE Taylor
West Indies,KMA Paul
West Indies,OC McCoy
West Indies,RR Sarwan
West Indies,SJ Benn
West Indies,SSJ Brooks
West Indies,XM Marshall
Zimbabwe,CB Mpofu
Zimbabwe,J Campbell
Zimbabwe,KM Jarvis
Zimbabwe,T Maruma
Zimbabwe,T Taibu
Zimbabwe,TL Chatara
